"ID","District ID","District Name","State Name","REGION","School Type","Start of Year Status","Equal Mix schools","Majority Non-White schools","Majority White schools","NA schools","TOTAL schools","Percent Equal Mix schools","Percent Majority Non-White schools","Percent Majority White schools","Percent NA schools","Total students","Size_DESC","White_students","Non-White_students","Percent White_students","Percent Non-White students","DISNDX","DISNDX_DESC"
8931.00,"3011520","Frenchtown K-12 Schools","Montana","West Region","1-Regular school","1-Open",0.00,0.00,4.00,0.00,4.00,0.00,0.00,1.00,0.00,1443.00,"1,000 - 10,000 students",1236.00,207.00,0.85,0.14,5.22,"Less than 10"
8932.00,"3011550","Froid Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,54.00,"Less than 500 students",39.00,15.00,0.72,0.27,21.02,"10 - 25"
8933.00,"3011580","Froid H S","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,38.00,"Less than 500 students",30.00,8.00,0.78,0.21,,"NA"
8934.00,"3011650","Fromberg K-12","Montana","West Region","1-Regular school","1-Open",0.00,0.00,3.00,0.00,3.00,0.00,0.00,1.00,0.00,106.00,"Less than 500 students",95.00,11.00,0.89,0.10,15.21,"10 - 25"
8935.00,"3011670","Frontier Elem","Montana","West Region","1-Regular school","1-Open",0.00,2.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,127.00,"Less than 500 students",18.00,109.00,0.14,0.85,1.68,"Less than 10"
8936.00,"3011730","Galata Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,6.00,"Less than 500 students",6.00,0.00,1.00,0.00,,"NA"
8937.00,"3011790","Gallatin Gateway Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,143.00,"Less than 500 students",123.00,20.00,0.86,0.13,8.57,"Less than 10"
8938.00,"3011820","Gardiner Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,91.00,"Less than 500 students",78.00,13.00,0.85,0.14,10.25,"10 - 25"
8939.00,"3011850","Gardiner H S","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,56.00,"Less than 500 students",46.00,10.00,0.82,0.17,,"NA"
8940.00,"3011880","Garfield County H S","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,55.00,"Less than 500 students",53.00,2.00,0.96,0.03,,"NA"
8941.00,"3011990","Ross Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,,"NA",,,,,,"NA"
8942.00,"3012060","Sand Springs Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,4.00,"Less than 500 students",4.00,0.00,1.00,0.00,,"NA"
8943.00,"3012210","Geraldine K-12","Montana","West Region","1-Regular school","1-Open",0.00,0.00,3.00,0.00,3.00,0.00,0.00,1.00,0.00,55.00,"Less than 500 students",54.00,1.00,0.98,0.01,38.88,"25.1 - 50"
8944.00,"3012300","Geyser K-12 Schools","Montana","West Region","1-Regular school","1-Open",0.00,0.00,3.00,0.00,3.00,0.00,0.00,1.00,0.00,36.00,"Less than 500 students",36.00,0.00,1.00,0.00,,"NA"
8945.00,"3012350","Gildford Colony Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,15.00,"Less than 500 students",15.00,0.00,1.00,0.00,,"NA"
8946.00,"3012420","Glasgow K-12 Schools","Montana","West Region","1-Regular school","1-Open",0.00,0.00,3.00,0.00,3.00,0.00,0.00,1.00,0.00,769.00,"500 - 999 students",637.00,132.00,0.82,0.17,16.96,"10 - 25"
8947.00,"3012510","Glendive Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,3.00,0.00,3.00,0.00,0.00,1.00,0.00,782.00,"500 - 999 students",684.00,98.00,0.87,0.12,8.05,"Less than 10"
8948.00,"3012600","Golden Ridge Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,44.00,"Less than 500 students",44.00,0.00,1.00,0.00,,"NA"
8949.00,"3012840","Philipsburg K-12 Schools","Montana","West Region","1-Regular school","1-Open",0.00,0.00,3.00,0.00,3.00,0.00,0.00,1.00,0.00,181.00,"Less than 500 students",165.00,16.00,0.91,0.08,10.41,"10 - 25"
8950.00,"3012900","Grant Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,3.00,"Less than 500 students",3.00,0.00,1.00,0.00,,"NA"
8951.00,"3012960","Grass Range Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,58.00,"Less than 500 students",52.00,6.00,0.89,0.10,4.48,"Less than 10"
8952.00,"3012990","Grass Range H S","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,18.00,"Less than 500 students",17.00,1.00,0.94,0.05,,"NA"
8953.00,"3013040","Great Falls Elem","Montana","West Region","1-Regular school","1-Open",0.00,2.00,15.00,0.00,17.00,0.00,0.11,0.88,0.00,7032.00,"1,000 - 10,000 students",4939.00,2093.00,0.70,0.29,17.23,"10 - 25"
8954.00,"3013050","Great Falls H S","Montana","West Region","1-Regular school","1-Open",0.00,0.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,3095.00,"1,000 - 10,000 students",2301.00,794.00,0.74,0.25,13.21,"10 - 25"
8955.00,"3013110","Greenfield Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,68.00,"Less than 500 students",60.00,8.00,0.88,0.11,14.16,"10 - 25"
8956.00,"3013140","Greycliff Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,6.00,"Less than 500 students",6.00,0.00,1.00,0.00,,"NA"
8957.00,"3013200","Hall Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,23.00,"Less than 500 students",21.00,2.00,0.91,0.08,,"NA"
8958.00,"3013260","Hamilton K-12 Schools","Montana","West Region","1-Regular school","1-Open",0.00,0.00,4.00,0.00,4.00,0.00,0.00,1.00,0.00,1666.00,"1,000 - 10,000 students",1452.00,214.00,0.87,0.12,2.91,"Less than 10"
8959.00,"3013280","Hawks Home Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,12.00,"Less than 500 students",12.00,0.00,1.00,0.00,,"NA"
8960.00,"3013310","Hardin Elem","Montana","West Region","1-Regular school","1-Open",0.00,5.00,0.00,0.00,5.00,0.00,1.00,0.00,0.00,1284.00,"1,000 - 10,000 students",163.00,1121.00,0.12,0.87,27.18,"25.1 - 50"
8961.00,"3013340","Hardin H S","Montana","West Region","1-Regular school","1-Open",0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,512.00,"500 - 999 students",65.00,447.00,0.12,0.87,,"NA"
